,Name,Super Power,Super Power Processed
0,3-D Man,Agility,A g i l i t y
1,3-D Man,Super Strength,Super Strength
2,3-D Man,Stamina,S t a m i n a
3,3-D Man,Super Speed,Super Speed
4,A-Bomb,Accelerated Healing,Accelerated Healing
5,A-Bomb,Durability,Durability
6,A-Bomb,Longevity,Longevity
7,A-Bomb,Super Strength,Super Strength
8,A-Bomb,Stamina,S t a m i n a
9,A-Bomb,Camouflage,Camouflage
10,A-Bomb,Self-Sustenance,Self-Sustenance
11,Abe Sapien,Agility,A g i l i t y
12,Abe Sapien,Accelerated Healing,Accelerated Healing
13,Abe Sapien,Cold Resistance,Cold Resistance
14,Abe Sapien,Durability,Durability
15,Abe Sapien,Underwater breathing,Underwater breathing
16,Abe Sapien,Marksmanship,Marksmanship
17,Abe Sapien,Weapons Master,Weapons Master
18,Abe Sapien,Longevity,Longevity
19,Abe Sapien,Intelligence,Intelligence
20,Abe Sapien,Super Strength,Super Strength
21,Abe Sapien,Telepathy,Telepathy
22,Abe Sapien,Stamina,S t a m i n a
23,Abe Sapien,Immortality,Immortality
24,Abe Sapien,Reflexes,Reflexes
25,Abe Sapien,Enhanced Sight,Enhanced Sight
26,Abe Sapien,Sub-Mariner,Sub-Mariner
27,Abin Sur,Lantern Power Ring,Lantern Power Ring
28,Abomination,Accelerated Healing,Accelerated Healing
29,Abomination,Intelligence,Intelligence
30,Abomination,Super Strength,Super Strength
31,Abomination,Stamina,S t a m i n a
32,Abomination,Super Speed,Super Speed
33,Abomination,Invulnerability,Invulnerability
34,Abomination,Animation,Animation
35,Abomination,Super Breath,Super Breath
36,Abraxas,Dimensional Awareness,Dimensional Awareness
37,Abraxas,Flight,F l i g h t
38,Abraxas,Intelligence,Intelligence
39,Abraxas,Super Strength,Super Strength
40,Abraxas,Size Changing,Size Changing
41,Abraxas,Super Speed,Super Speed
42,Abraxas,Teleportation,Teleportation
43,Abraxas,Magic,M a g i c
44,Abraxas,Dimensional Travel,Dimensional Travel
45,Abraxas,Immortality,Immortality
46,Abraxas,Invulnerability,Invulnerability
47,Abraxas,Molecular Manipulation,Molecular Manipulation
48,Abraxas,Energy Manipulation,Energy Manipulation
49,Abraxas,Power Cosmic,Power Cosmic
50,Absorbing Man,Cold Resistance,Cold Resistance
51,Absorbing Man,Durability,Durability
52,Absorbing Man,Energy Absorption,Energy Absorption
53,Absorbing Man,Super Strength,Super Strength
54,Absorbing Man,Invulnerability,Invulnerability
55,Absorbing Man,Elemental Transmogrification,Elem Transmogrification
56,Absorbing Man,Fire Resistance,Fire Resistance
57,Absorbing Man,Natural Armor,Natural Armor
58,Absorbing Man,Molecular Manipulation,Molecular Manipulation
